=== Loading wragge/hansard-xml speeches ===
  Found 13247 XML files
  Loaded 424976 existing dedup keys
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-06-05.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-06-09.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-06-10.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-08-18.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-08-19.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-08-20.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-08-25.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-08-26.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-08-27.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-09-08.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-09-09.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-09-10.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-09-15.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-09-16.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-09-22.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-09-23.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-09-24.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-10-13.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-10-14.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-10-15.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-10-20.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-10-21.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-10-22.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-10-27.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-10-28.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-10-29.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-11-17.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-11-18.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-02-16.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-02-17.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-02-18.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-02-23.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-02-24.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-02-25.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-03-09.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-03-11.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-03-16.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1982/reps_1982-03-17.xml: syntax error: line 1, column 64
